Time | /taɪm/ | Danh từ | Thời gian | Time flies when you are having fun.
Other | /ˈʌð.ər/ | Tính từ | Khác | Do you have any other questions?
Old | /əʊld/ | Tính từ | Cũ, già | This building is very old.
Right | /raɪt/ | Tính từ | Đúng, phải | You are right.
Big | /bɪɡ/ | Tính từ | To lớn | Elephants are big animals.
High | /haɪ/ | Tính từ | Cao | The mountain is very high.
Different | /ˈdɪf.ər.ənt/ | Tính từ | Khác biệt | They have different opinions.
Small | /smɔːl/ | Tính từ | Nhỏ | The mouse is small.
Large | /lɑːdʒ/ | Tính từ | Rộng lớn | We need a large table.
Next | /nekst/ | Tính từ | Kế tiếp | See you next week.
Early | /ˈɜː.li/ | Tính từ | Sớm | I wake up early.
Young | /jʌŋ/ | Tính từ | Trẻ | He is a young man.
Important | /ɪmˈpɔː.tənt/ | Tính từ | Quan trọng | Education is very important.
Few | /fjuː/ | Tính từ | Một vài | I have a few friends here.
Public | /ˈpʌb.lɪk/ | Tính từ | Công cộng | This is a public park.
Bad | /bæd/ | Tính từ | Tệ, xấu | Smoking is bad for health.
Same | /seɪm/ | Tính từ | Giống nhau | We have the same shirt.
Able | /ˈeɪ.bəl/ | Tính từ | Có thể | He is able to swim.
Always | /ˈɔːl.weɪz/ | Trạng từ | Luôn luôn | I always brush my teeth.
Never | /ˈnev.ər/ | Trạng từ | Không bao giờ | I never tell a lie.
Often | /ˈɒf.ən/ | Trạng từ | Thường xuyên | I often go to the park.
Sometimes | /ˈsʌm.taɪmz/ | Trạng từ | Thỉnh thoảng | Sometimes I eat pizza.
Quickly | /ˈkwɪk.li/ | Trạng từ | Nhanh chóng | He runs very quickly.
Slowly | /ˈsləʊ.li/ | Trạng từ | Chậm chạp | Please speak slowly.
Very | /ˈver.i/ | Trạng từ | Rất | She is very beautiful.
Really | /ˈrɪə.li/ | Trạng từ | Thực sự | I am really tired.
Also | /ˈɔːl.səʊ/ | Trạng từ | Cũng | I am hungry and also thirsty.
Now | /naʊ/ | Trạng từ | Bây giờ | I am busy right now.
Then | /ðen/ | Trạng từ | Sau đó | We ate dinner and then went home.
Here | /hɪər/ | Trạng từ | Ở đây | Come here.
There | /ðeər/ | Trạng từ | Ở đó | Put the bag over there.
Well | /wel/ | Trạng từ | Tốt | She sings very well.
Only | /ˈəʊn.li/ | Trạng từ | Chỉ | I only have one dollar.
In | /ɪn/ | Giới từ | Trong | The cat is in the box.
On | /ɒn/ | Giới từ | Trên | The book is on the table.
At | /æt/ | Giới từ | Tại | See you at 5 PM.
With | /wɪð/ | Giới từ | Với | I go with my friend.
From | /frɒm/ | Giới từ | Từ | Where are you from?
By | /baɪ/ | Giới từ | Bởi, bằng | I go to work by bus.
About | /əˈbaʊt/ | Giới từ | Về, khoảng | Tell me about yourself.
And | /ænd/ | Liên từ | Và | I like cats and dogs.
But | /bʌt/ | Liên từ | Nhưng | I am tired but happy.
Or | /ɔːr/ | Liên từ | Hoặc | Do you want tea or coffee?
Because | /bɪˈkɒz/ | Liên từ | Bởi vì | I stay home because it rains.
If | /ɪf/ | Liên từ | Nếu | If it rains, I will stay home.
I | /aɪ/ | Đại từ | Tôi | I am a student.
You | /juː/ | Đại từ | Bạn | You are my friend.
He | /hiː/ | Đại từ | Anh ấy | He is a doctor.
She | /ʃiː/ | Đại từ | Cô ấy | She is a teacher.
It | /ɪt/ | Đại từ | Nó | It is a cat.
We | /wiː/ | Đại từ | Chúng tôi | We are happy.
They | /ðeɪ/ | Đại từ | Họ | They are playing football.
